"""Paddling"","
"""Swimming"","
"""Walking"","
"""Feeding sharks"","
"""Fishing"","
"""Scuba Diving"","
"""Surfing"","
"""Paddle-skiing"","
"""Paddle Boarding"","
"""Wading"","
"""Bathing"","
"""Snorkeling"","
"""Kayaking"","
"""Body-boarding"","
"""Surf-skiing"","
"""Floating"","
"""Foil boarding"","
"""Standing"","
"""Diving"","
"""Teasing a shark"","
"""Scallop diving on hookah"","
"""Playing in the water"","
"""Boogie boarding"","
"""Playing"","
"""Hand feeding sharks"","
"""Rowing"","
"""Kiteboarding"","
"""Abalone Diving"","
"""Casting a net"","
"""Cleaning fish"","
"""Playing in the surf"","
"""Kite boarding"","
"""Free diving"","
"""Sitting in the water"","
"""Diving, feeding sharks"","
"""Washing sand off a speared fish"","
"""Wakeboarding"","
"""Rescuing"","
"""Measuring sharks"","
"""Diving, but on the surface when bitten by the shark"","
"""Treading water"","
"""Jet skiing"","
"""Accidentally stood on hooked shark's tail before attempting to gut it"","
"""Jumping"","
"""Jumped into the water"","
"""Reviving a sedated shark"","
"""Playing soccer in the water"","
"""Lifesaving drill"","
"""Holding onto an inflatable boat"","
"""Diving in aquarium display tank"","
"""Chumming for white sharks"","
"""Standing, stepped on shark"","
"""Wading, when he stepped on the shark"","
"""Scallop diving (using surface-supplied air & a POD)"","
"""Wreck / Technical diving"","
"""Lying prone in 2' of water"","
"""Wading in school of baitfish"","
"""Splashing"","
"""Towing rubber dinghy"","
"""Dived naked into the water on a bet"","
"""Playing / standing"","
"""Commercial diver (submerged or treading water)"","
"""Jumped off rocks into white water"","
"""Hookah diving"","
"""Standing in waist-deep water, helping his father tend a gill net containing dead fish"","
"""Hookah diving for sea urchins"","
"""Hookah diving for pen shells"","
"""Finning the shark that bit him"","
"""Canoeing"","
"""Feeding fish"","
"""Sittting in water with his child"","
"""Attempting to lasso shark's tail"","
"""Racing ski"","
"""Free diving for scallops"","
"""Sailing on catamaran & fell into the water"","
"""Skindiving"","
"""Towing her sister on plastic ski board"","
"""14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water"","
"""Water-skiing"","
"""Shell diving"","
"""Standing / Wading"","
"""Thrashing the water / imitating the shark victim from ""Jaws"""","
"""Free diving (but on surface)"","
"""Sitting in shallows"","
"""Feeding mullet to sharks"","
"""Wading & pushing dinghy toward  the shallows"","
"""Standing on sandbar"","
"""Pulling shark from the water"","
"""Free diving, carrying speargun"","
"""Diving into water"","
"""Killing a shark"","
"""Clamming"","
"""Helping men land a shark"","
"""Walking on reef"","
"""Paddling rescue ski"","
"""Free diving with seals"","
"""Helping friend land hooked shark"","
"""Treading water while alongside capsized yacht"","
"""Spearing fish"","
"""Free diving, hunting crayfish"","
"""Rolled off raft"","
"""Walking in chest-deep water"","
"""Checking fish traps, fell into the water"","
"""Collecting aquarium specimens"","
"""Holding shark on leader & dangling it above the water"","
"""Free diving but treading water at surface"","
"""Standing in chest-deep water"","
"""Trailing the field in a surf race"","
"""Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore"","
"""Working prawn net"","
"""In deep water about 100 yards from his ship"","
"""Cleaning hull of ship"","
